project_id,project_name,department,project_type,location,budget,expenditure,planned_duration_days,time_elapsed_days,completion_percentage,total_milestones,completed_milestones,delayed_milestones,pending_milestones,risk_score,delay_level
PRJ-1014,Energy & Power Project - Jaipur #14,Ministry of Electronics & IT,Energy & Power,Jaipur,2669.25,1225.58,1219,1345,37.17,24,8,12,4,8.96,HIGH
PRJ-1015,Transportation Project - Kolkata #15,Ministry of Railways,Transportation,Kolkata,2671.16,1410.9,1284,1475,41.88,5,2,2,1,4.68,HIGH
PRJ-1016,Energy & Power Project - Chennai #16,Ministry of Road Transport & Highways,Energy & Power,Chennai,845.69,764.0,673,717,70.94,10,7,1,2,3.49,HIGH
PRJ-1017,Healthcare Facility Project - Bengaluru #17,Ministry of Water Resources,Healthcare Facility,Bengaluru,458.09,241.28,1153,1316,59.68,38,22,9,7,6.46,HIGH
PRJ-1018,Healthcare Facility Project - Guwahati #18,Ministry of Railways,Healthcare Facility,Guwahati,2417.64,1289.65,1640,726,41.11,28,11,2,15,4.78,LOW
PRJ-1019,Transportation Project - Hyderabad #19,Ministry of Road Transport & Highways,Transportation,Hyderabad,233.45,99.08,223,166,46.38,19,8,3,8,5.3,HIGH
PRJ-1020,Transportation Project - Mumbai #20,Ministry of Road Transport & Highways,Transportation,Mumbai,3169.92,256.94,856,152,8.82,36,3,4,29,6.42,MEDIUM
PRJ-1021,Healthcare Facility Project - Pune #21,Ministry of Health & Family Welfare,Healthcare Facility,Pune,858.06,768.14,1148,1134,100.0,11,11,0,0,0.71,LOW
PRJ-1022,Urban Infrastructure Project - Guwahati #22,Ministry of Urban Development,Urban Infrastructure,Guwahati,199.06,134.15,1518,1795,79.36,30,23,2,5,3.43,HIGH
PRJ-1023,Transportation Project - Hyderabad #23,Ministry of Road Transport & Highways,Transportation,Hyderabad,673.83,132.37,1098,279,22.03,34,7,2,25,6.55,MEDIUM
PRJ-1024,Water & Sanitation Project - Jaipur #24,Ministry of Urban Development,Water & Sanitation,Jaipur,351.7,211.53,1515,1816,49.38,10,4,4,2,5.83,HIGH
PRJ-1025,Urban Infrastructure Project - Pune #25,Ministry of Railways,Urban Infrastructure,Pune,1689.94,1064.47,1001,1093,71.39,5,3,0,2,1.96,HIGH
PRJ-1026,Water & Sanitation Project - Pune #26,Ministry of Water Resources,Water & Sanitation,Pune,1005.52,1145.29,1606,1851,87.77,40,35,1,4,1.98,MEDIUM
PRJ-1027,Energy & Power Project - Hyderabad #27,Ministry of Railways,Energy & Power,Hyderabad,3390.8,1439.53,1366,1242,51.12,25,12,5,8,5.61,HIGH
PRJ-1028,Water & Sanitation Project - Jaipur #28,Ministry of Health & Family Welfare,Water & Sanitation,Jaipur,559.44,88.52,1220,229,17.72,9,1,1,7,4.98,LOW
PRJ-1029,Healthcare Facility Project - Hyderabad #29,Ministry of Road Transport & Highways,Healthcare Facility,Hyderabad,2030.43,1115.79,261,203,54.43,38,20,5,13,4.8,MEDIUM
PRJ-1030,Digital Governance Project - Kolkata #30,Ministry of Electronics & IT,Digital Governance,Kolkata,843.01,179.08,990,241,18.92,34,6,3,25,6.76,MEDIUM
PRJ-1031,Infrastructure Project - Pune #31,Ministry of Road Transport & Highways,Infrastructure,Pune,2177.85,1274.71,1333,1593,69.96,18,12,2,4,2.57,HIGH
PRJ-1032,Infrastructure Project - Hyderabad #32,Ministry of Power,Infrastructure,Hyderabad,1299.65,1051.08,503,292,75.47,24,18,0,6,3.2,LOW
PRJ-1033,Healthcare Facility Project - Delhi NCR #33,Ministry of Electronics & IT,Healthcare Facility,Delhi NCR,2340.84,961.89,1315,564,36.31,13,4,1,8,5.36,LOW
PRJ-1034,Healthcare Facility Project - Bengaluru #34,Ministry of Electronics & IT,Healthcare Facility,Bengaluru,960.5,181.11,1418,470,19.41,21,4,4,13,6.13,MEDIUM
PRJ-1035,Infrastructure Project - Mumbai #35,Ministry of Water Resources,Infrastructure,Mumbai,2223.65,334.72,746,110,15.57,13,2,1,10,5.15,LOW
PRJ-1036,Urban Infrastructure Project - Jaipur #36,Ministry of Electronics & IT,Urban Infrastructure,Jaipur,2472.78,124.07,1328,146,5.99,14,0,2,12,7.17,MEDIUM
PRJ-1037,Healthcare Facility Project - Bengaluru #37,Ministry of Health & Family Welfare,Healthcare Facility,Bengaluru,1509.96,745.05,265,116,39.49,7,2,1,4,3.85,LOW
PRJ-1038,Digital Governance Project - Mumbai #38,Ministry of Railways,Digital Governance,Mumbai,1244.34,449.52,1326,1422,36.01,14,5,7,2,6.47,HIGH
PRJ-1039,Water & Sanitation Project - Bengaluru #39,Ministry of Railways,Water & Sanitation,Bengaluru,3086.14,596.4,230,68,15.31,31,4,8,19,9.16,MEDIUM
PRJ-1040,Transportation Project - Chennai #40,Ministry of Water Resources,Transportation,Chennai,565.6,137.31,1616,353,19.64,35,6,1,28,6.05,MEDIUM
PRJ-1041,Energy & Power Project - Chennai #41,Ministry of Urban Development,Energy & Power,Chennai,2873.67,1159.93,646,223,35.72,30,10,1,19,5.34,LOW
PRJ-1042,Energy & Power Project - Kolkata #42,Ministry of Water Resources,Energy & Power,Kolkata,2248.77,2077.2,998,845,75.6,26,19,1,6,1.85,LOW
PRJ-1043,Transportation Project - Lucknow #43,Ministry of Power,Transportation,Lucknow,3369.24,428.5,723,102,11.58,27,3,4,20,6.65,MEDIUM
PRJ-1044,Healthcare Facility Project - Mumbai #44,Ministry of Health & Family Welfare,Healthcare Facility,Mumbai,1354.33,266.47,1360,420,23.93,32,7,1,24,6.05,MEDIUM
PRJ-1045,Digital Governance Project - Guwahati #45,Ministry of Health & Family Welfare,Digital Governance,Guwahati,3291.52,1300.17,1689,1414,40.22,9,3,3,3,6.03,HIGH
PRJ-1046,Energy & Power Project - Patna #46,Ministry of Health & Family Welfare,Energy & Power,Patna,2969.57,2096.18,1654,1802,67.0,31,20,4,7,4.64,HIGH
PRJ-1047,Transportation Project - Hyderabad #47,Ministry of Health & Family Welfare,Transportation,Hyderabad,1477.36,1146.79,956,807,62.03,24,14,3,7,4.77,MEDIUM
PRJ-1048,Energy & Power Project - Hyderabad #48,Ministry of Power,Energy & Power,Hyderabad,1510.31,1240.1,1367,1048,85.43,33,28,0,5,1.16,LOW
PRJ-1049,Water & Sanitation Project - Guwahati #49,Ministry of Urban Development,Water & Sanitation,Guwahati,602.22,262.03,353,145,38.44,26,9,0,17,4.98,LOW
PRJ-1050,Digital Governance Project - Chennai #50,Ministry of Railways,Digital Governance,Chennai,794.0,69.73,587,153,10.67,35,3,8,24,9.2,MEDIUM
PRJ-1051,Urban Infrastructure Project - Patna #51,Ministry of Urban Development,Urban Infrastructure,Patna,2019.09,1703.76,1651,1429,80.58,20,16,0,4,2.35,LOW
PRJ-1052,Water & Sanitation Project - Mumbai #52,Ministry of Water Resources,Water & Sanitation,Mumbai,2726.69,770.02,628,184,22.08,38,8,4,26,6.61,MEDIUM
PRJ-1053,Infrastructure Project - Pune #53,Ministry of Water Resources,Infrastructure,Pune,475.35,349.12,1131,943,56.76,25,14,5,6,5.94,HIGH
PRJ-1054,Water & Sanitation Project - Guwahati #54,Ministry of Health & Family Welfare,Water & Sanitation,Guwahati,3123.15,3354.06,1053,1067,100.0,15,15,0,0,0.95,LOW
PRJ-1055,Water & Sanitation Project - Hyderabad #55,Ministry of Power,Water & Sanitation,Hyderabad,2941.12,3119.5,747,703,100.0,20,20,0,0,0.15,LOW
PRJ-1056,Transportation Project - Chennai #56,Ministry of Power,Transportation,Chennai,1182.11,210.9,1286,242,20.38,29,5,2,22,6.19,MEDIUM
PRJ-1057,Urban Infrastructure Project - Ahmedabad #57,Ministry of Road Transport & Highways,Urban Infrastructure,Ahmedabad,1164.78,375.45,1134,632,35.68,31,11,5,15,6.76,MEDIUM
PRJ-1058,Infrastructure Project - Lucknow #58,Ministry of Electronics & IT,Infrastructure,Lucknow,1337.53,981.12,192,218,77.27,29,22,2,5,3.84,HIGH
PRJ-1059,Healthcare Facility Project - Guwahati #59,Ministry of Urban Development,Healthcare Facility,Guwahati,2573.87,2506.82,1415,1538,93.28,22,20,0,2,0.39,LOW
PRJ-1060,Digital Governance Project - Patna #60,Ministry of Power,Digital Governance,Patna,2795.52,889.45,1663,468,30.78,13,4,1,8,4.93,LOW
PRJ-1061,Healthcare Facility Project - Lucknow #61,Ministry of Urban Development,Healthcare Facility,Lucknow,2323.87,1187.27,351,283,58.87,34,20,3,11,3.78,MEDIUM
PRJ-1062,Transportation Project - Pune #62,Ministry of Power,Transportation,Pune,1150.69,868.41,1738,1855,80.36,31,24,1,6,1.55,MEDIUM
PRJ-1063,Digital Governance Project - Jaipur #63,Ministry of Road Transport & Highways,Digital Governance,Jaipur,191.78,31.74,896,310,19.84,7,1,1,5,6.31,MEDIUM
PRJ-1064,Water & Sanitation Project - Delhi NCR #64,Ministry of Railways,Water & Sanitation,Delhi NCR,2178.46,324.07,668,159,13.11,18,2,3,13,6.06,MEDIUM
PRJ-1065,Transportation Project - Lucknow #65,Ministry of Power,Transportation,Lucknow,2129.29,2373.03,1711,1523,93.74,15,14,0,1,0.53,LOW
PRJ-1066,Energy & Power Project - Lucknow #66,Ministry of Road Transport & Highways,Energy & Power,Lucknow,2373.94,1750.93,948,508,63.72,9,5,0,4,3.48,LOW
PRJ-1067,Infrastructure Project - Guwahati #67,Ministry of Railways,Infrastructure,Guwahati,2705.96,1472.81,1581,1202,63.25,7,4,0,3,2.69,MEDIUM
PRJ-1068,Infrastructure Project - Jaipur #68,Ministry of Power,Infrastructure,Jaipur,2269.93,2723.92,205,212,100.0,11,11,0,0,0.72,LOW
PRJ-1069,Urban Infrastructure Project - Guwahati #69,Ministry of Water Resources,Urban Infrastructure,Guwahati,543.94,594.19,540,489,85.16,22,18,0,4,2.58,LOW
PRJ-1070,Urban Infrastructure Project - Pune #70,Ministry of Water Resources,Urban Infrastructure,Pune,1530.15,761.09,1677,1260,51.75,20,10,3,7,3.79,MEDIUM
PRJ-1071,Transportation Project - Pune #71,Ministry of Urban Development,Transportation,Pune,1998.78,791.07,1548,800,48.6,25,12,0,13,2.99,LOW
PRJ-1072,Energy & Power Project - Kolkata #72,Ministry of Water Resources,Energy & Power,Kolkata,986.01,925.01,1400,1219,100.0,5,5,0,0,0.38,LOW
PRJ-1073,Digital Governance Project - Ahmedabad #73,Ministry of Railways,Digital Governance,Ahmedabad,1715.14,545.51,1732,631,30.64,36,11,3,22,4.7,LOW
PRJ-1074,Transportation Project - Ahmedabad #74,Ministry of Power,Transportation,Ahmedabad,2424.34,2386.79,807,670,100.0,40,40,0,0,0.85,LOW
PRJ-1075,Healthcare Facility Project - Kolkata #75,Ministry of Electronics & IT,Healthcare Facility,Kolkata,1237.82,88.92,1109,441,7.76,12,0,5,7,7.24,HIGH
PRJ-1076,Healthcare Facility Project - Guwahati #76,Ministry of Electronics & IT,Healthcare Facility,Guwahati,656.17,592.44,623,568,96.23,38,36,0,2,2.15,LOW
PRJ-1077,Transportation Project - Chennai #77,Ministry of Water Resources,Transportation,Chennai,803.92,348.92,547,236,37.61,13,4,0,9,5.07,LOW
PRJ-1078,Energy & Power Project - Guwahati #78,Ministry of Health & Family Welfare,Energy & Power,Guwahati,3304.87,2678.35,1486,1568,77.52,5,3,0,2,2.06,HIGH
PRJ-1079,Energy & Power Project - Bengaluru #79,Ministry of Urban Development,Energy & Power,Bengaluru,3379.59,3064.7,697,791,87.29,9,7,0,2,0.78,MEDIUM
PRJ-1080,Digital Governance Project - Delhi NCR #80,Ministry of Electronics & IT,Digital Governance,Delhi NCR,539.53,160.52,1332,1523,35.31,20,7,8,5,7.96,HIGH
PRJ-1081,Healthcare Facility Project - Lucknow #81,Ministry of Health & Family Welfare,Healthcare Facility,Lucknow,797.65,412.39,1250,648,41.22,24,9,4,11,6.52,MEDIUM
PRJ-1082,Healthcare Facility Project - Lucknow #82,Ministry of Power,Healthcare Facility,Lucknow,220.2,51.04,1695,354,19.62,18,3,0,15,4.18,LOW
PRJ-1083,Transportation Project - Jaipur #83,Ministry of Railways,Transportation,Jaipur,271.98,207.28,185,101,66.58,35,23,0,12,2.13,LOW
PRJ-1084,Energy & Power Project - Guwahati #84,Ministry of Electronics & IT,Energy & Power,Guwahati,3010.03,2340.65,325,278,61.62,17,10,2,5,3.81,MEDIUM
PRJ-1085,Transportation Project - Chennai #85,Ministry of Electronics & IT,Transportation,Chennai,2894.94,364.68,326,53,10.53,23,2,3,18,6.61,MEDIUM
PRJ-1086,Digital Governance Project - Ahmedabad #86,Ministry of Power,Digital Governance,Ahmedabad,3299.94,1689.53,1204,835,50.25,7,3,1,3,4.36,MEDIUM
PRJ-1087,Energy & Power Project - Delhi NCR #87,Ministry of Health & Family Welfare,Energy & Power,Delhi NCR,328.73,357.53,1560,1590,100.0,6,6,0,0,1.34,LOW
PRJ-1088,Healthcare Facility Project - Delhi NCR #88,Ministry of Power,Healthcare Facility,Delhi NCR,2673.25,1731.32,538,332,57.53,22,12,0,10,3.29,LOW
PRJ-1089,Water & Sanitation Project - Pune #89,Ministry of Electronics & IT,Water & Sanitation,Pune,3392.0,1135.15,1142,551,34.62,11,3,2,6,4.73,MEDIUM
PRJ-1090,Urban Infrastructure Project - Chennai #90,Ministry of Electronics & IT,Urban Infrastructure,Chennai,2322.42,2427.8,1000,994,97.24,34,33,0,1,0.64,LOW
PRJ-1091,Water & Sanitation Project - Ahmedabad #91,Ministry of Road Transport & Highways,Water & Sanitation,Ahmedabad,3028.54,2322.06,182,149,71.57,31,22,1,8,2.86,MEDIUM
PRJ-1092,Water & Sanitation Project - Pune #92,Ministry of Health & Family Welfare,Water & Sanitation,Pune,2192.68,350.23,1736,272,17.11,13,2,1,10,5.42,LOW
PRJ-1093,Urban Infrastructure Project - Mumbai #93,Ministry of Electronics & IT,Urban Infrastructure,Mumbai,110.75,52.85,1470,1131,51.89,15,7,2,6,3.23,HIGH
PRJ-1094,Infrastructure Project - Hyderabad #94,Ministry of Urban Development,Infrastructure,Hyderabad,3472.98,1390.08,412,250,46.61,14,6,1,7,4.5,MEDIUM
PRJ-1095,Digital Governance Project - Chennai #95,Ministry of Health & Family Welfare,Digital Governance,Chennai,1460.06,1012.18,1168,1376,75.2,40,30,2,8,2.42,HIGH
PRJ-1096,Healthcare Facility Project - Guwahati #96,Ministry of Health & Family Welfare,Healthcare Facility,Guwahati,3078.85,719.29,322,130,19.55,31,6,6,19,8.0,MEDIUM
PRJ-1097,Water & Sanitation Project - Delhi NCR #97,Ministry of Power,Water & Sanitation,Delhi NCR,997.11,1004.21,791,807,92.4,36,33,0,3,1.27,LOW
PRJ-1098,Energy & Power Project - Kolkata #98,Ministry of Urban Development,Energy & Power,Kolkata,1936.19,1155.16,1292,665,47.11,17,8,2,7,3.92,LOW
PRJ-1099,Transportation Project - Ahmedabad #99,Ministry of Urban Development,Transportation,Ahmedabad,162.33,107.65,1705,1057,52.77,29,15,2,12,4.49,LOW
PRJ-1100,Digital Governance Project - Bengaluru #100,Ministry of Water Resources,Digital Governance,Bengaluru,1738.7,415.26,255,60,18.62,26,4,4,18,7.42,MEDIUM
PRJ-1101,Infrastructure Project - Jaipur #101,Ministry of Urban Development,Infrastructure,Jaipur,3187.44,1416.2,211,188,44.21,14,6,3,5,5.55,HIGH
PRJ-1102,Energy & Power Project - Lucknow #102,Ministry of Power,Energy & Power,Lucknow,2427.54,327.95,1510,284,14.01,39,5,4,30,6.53,MEDIUM
PRJ-1103,Water & Sanitation Project - Pune #103,Ministry of Electronics & IT,Water & Sanitation,Pune,3054.62,1667.63,253,197,59.51,23,13,3,7,4.72,MEDIUM
PRJ-1104,Infrastructure Project - Patna #104,Ministry of Urban Development,Infrastructure,Patna,2466.58,1078.48,385,226,38.12,6,2,0,4,4.69,MEDIUM
PRJ-1105,Energy & Power Project - Kolkata #105,Ministry of Power,Energy & Power,Kolkata,1513.1,907.31,680,465,55.37,16,8,1,7,2.79,MEDIUM
PRJ-1106,Urban Infrastructure Project - Lucknow #106,Ministry of Water Resources,Urban Infrastructure,Lucknow,2394.14,1984.39,1199,1323,95.1,34,32,0,2,1.16,LOW
PRJ-1107,Infrastructure Project - Pune #107,Ministry of Electronics & IT,Infrastructure,Pune,3155.22,2405.41,1567,1098,91.09,27,24,0,3,1.04,LOW
PRJ-1108,Digital Governance Project - Chennai #108,Ministry of Urban Development,Digital Governance,Chennai,1604.36,452.79,798,254,28.44,35,9,1,25,4.74,LOW
PRJ-1109,Healthcare Facility Project - Chennai #109,Ministry of Power,Healthcare Facility,Chennai,3474.5,477.46,784,97,11.31,30,3,1,26,5.97,MEDIUM
PRJ-1110,Water & Sanitation Project - Guwahati #110,Ministry of Electronics & IT,Water & Sanitation,Guwahati,3407.87,3167.5,1421,1306,76.41,23,17,1,5,2.04,MEDIUM
PRJ-1111,Energy & Power Project - Hyderabad #111,Ministry of Water Resources,Energy & Power,Hyderabad,2231.8,365.64,1451,545,13.91,13,1,4,8,7.71,MEDIUM
PRJ-1112,Infrastructure Project - Chennai #112,Ministry of Electronics & IT,Infrastructure,Chennai,2762.25,1993.65,248,182,61.89,10,6,1,3,2.96,MEDIUM
PRJ-1113,Transportation Project - Hyderabad #113,Ministry of Urban Development,Transportation,Hyderabad,471.24,400.71,1284,1366,86.51,37,32,1,4,2.74,MEDIUM
PRJ-1114,Water & Sanitation Project - Pune #114,Ministry of Power,Water & Sanitation,Pune,3386.17,3282.41,784,722,100.0,12,12,0,0,0.15,LOW
PRJ-1115,Transportation Project - Patna #115,Ministry of Water Resources,Transportation,Patna,2537.52,2446.47,993,1155,80.19,28,22,1,5,2.18,MEDIUM
PRJ-1116,Healthcare Facility Project - Mumbai #116,Ministry of Power,Healthcare Facility,Mumbai,1597.2,1271.04,1557,1438,85.47,29,24,1,4,3.01,LOW
PRJ-1117,Digital Governance Project - Hyderabad #117,Ministry of Road Transport & Highways,Digital Governance,Hyderabad,1655.45,1505.13,1448,1553,84.13,19,15,1,3,2.46,MEDIUM
PRJ-1118,Digital Governance Project - Chennai #118,Ministry of Urban Development,Digital Governance,Chennai,2275.85,409.99,418,106,14.15,24,3,6,15,6.92,MEDIUM
PRJ-1119,Healthcare Facility Project - Bengaluru #119,Ministry of Railways,Healthcare Facility,Bengaluru,1366.37,1521.88,939,786,95.07,39,37,0,2,1.73,LOW
PRJ-1120,Urban Infrastructure Project - Patna #120,Ministry of Railways,Urban Infrastructure,Patna,355.59,363.9,1182,918,80.61,22,17,0,5,1.71,LOW
PRJ-1121,Urban Infrastructure Project - Hyderabad #121,Ministry of Urban Development,Urban Infrastructure,Hyderabad,2995.52,2946.6,383,451,100.0,27,27,0,0,0.55,LOW
PRJ-1122,Water & Sanitation Project - Pune #122,Ministry of Road Transport & Highways,Water & Sanitation,Pune,329.94,181.59,614,494,50.1,6,3,0,3,3.16,HIGH
PRJ-1123,Water & Sanitation Project - Lucknow #123,Ministry of Railways,Water & Sanitation,Lucknow,726.17,676.04,1747,1239,85.16,19,16,0,3,1.04,LOW
PRJ-1124,Infrastructure Project - Chennai #124,Ministry of Health & Family Welfare,Infrastructure,Chennai,3005.84,1606.68,476,564,49.95,16,7,4,5,5.84,HIGH
PRJ-1125,Infrastructure Project - Kolkata #125,Ministry of Railways,Infrastructure,Kolkata,2767.05,1663.64,667,498,74.42,21,15,0,6,2.76,LOW
PRJ-1126,Infrastructure Project - Guwahati #126,Ministry of Health & Family Welfare,Infrastructure,Guwahati,231.82,244.95,1098,1049,100.0,11,11,0,0,0.44,LOW
PRJ-1127,Infrastructure Project - Guwahati #127,Ministry of Health & Family Welfare,Infrastructure,Guwahati,2743.46,1144.48,1529,1029,40.54,6,2,1,3,4.33,HIGH
PRJ-1128,Urban Infrastructure Project - Patna #128,Ministry of Urban Development,Urban Infrastructure,Patna,386.79,229.27,1638,1802,70.84,10,7,1,2,2.15,HIGH
PRJ-1129,Energy & Power Project - Lucknow #129,Ministry of Railways,Energy & Power,Lucknow,2219.44,1699.03,1303,1151,77.29,38,29,1,8,2.55,MEDIUM
PRJ-1130,Infrastructure Project - Guwahati #130,Ministry of Urban Development,Infrastructure,Guwahati,409.31,286.38,1520,1240,59.07,18,10,2,6,4.62,MEDIUM
PRJ-1131,Energy & Power Project - Pune #131,Ministry of Urban Development,Energy & Power,Pune,1401.57,134.22,1674,342,9.45,21,1,3,17,6.03,MEDIUM
PRJ-1132,Infrastructure Project - Mumbai #132,Ministry of Urban Development,Infrastructure,Mumbai,2912.88,1696.45,370,212,49.68,28,13,3,12,4.83,LOW
PRJ-1133,Healthcare Facility Project - Jaipur #133,Ministry of Health & Family Welfare,Healthcare Facility,Jaipur,1160.46,462.3,430,237,32.21,32,10,8,14,8.03,MEDIUM
PRJ-1134,Healthcare Facility Project - Chennai #134,Ministry of Power,Healthcare Facility,Chennai,1237.25,691.8,1363,897,63.73,35,22,0,13,2.03,LOW
PRJ-1135,Healthcare Facility Project - Kolkata #135,Ministry of Water Resources,Healthcare Facility,Kolkata,410.95,224.11,750,548,45.31,40,18,10,12,8.37,HIGH
PRJ-1136,Digital Governance Project - Patna #136,Ministry of Health & Family Welfare,Digital Governance,Patna,1953.02,2343.62,1427,1601,100.0,22,22,0,0,0.55,LOW
PRJ-1137,Energy & Power Project - Kolkata #137,Ministry of Water Resources,Energy & Power,Kolkata,1235.07,875.18,551,582,65.42,30,19,3,8,4.41,HIGH
PRJ-1138,Infrastructure Project - Guwahati #138,Ministry of Road Transport & Highways,Infrastructure,Guwahati,1861.38,779.81,950,533,43.17,28,12,3,13,4.69,MEDIUM
PRJ-1139,Healthcare Facility Project - Mumbai #139,Ministry of Health & Family Welfare,Healthcare Facility,Mumbai,3092.86,986.73,498,136,28.77,10,2,0,8,4.89,LOW
PRJ-1140,Healthcare Facility Project - Pune #140,Ministry of Urban Development,Healthcare Facility,Pune,1455.5,628.48,621,577,50.39,32,16,7,9,6.64,HIGH
PRJ-1141,Urban Infrastructure Project - Jaipur #141,Ministry of Health & Family Welfare,Urban Infrastructure,Jaipur,2338.29,933.37,273,93,30.89,8,2,0,6,4.06,LOW
PRJ-1142,Water & Sanitation Project - Bengaluru #142,Ministry of Railways,Water & Sanitation,Bengaluru,2676.92,1164.38,772,355,54.11,32,17,0,15,3.05,LOW
PRJ-1143,Transportation Project - Jaipur #143,Ministry of Electronics & IT,Transportation,Jaipur,1959.95,724.26,1548,1527,44.2,7,3,2,2,4.51,HIGH
PRJ-1144,Water & Sanitation Project - Kolkata #144,Ministry of Road Transport & Highways,Water & Sanitation,Kolkata,2019.4,1103.34,1354,737,48.78,23,11,0,12,2.6,LOW
PRJ-1145,Transportation Project - Lucknow #145,Ministry of Power,Transportation,Lucknow,1615.74,1247.87,1592,1769,91.5,11,10,0,1,1.6,LOW
PRJ-1146,Infrastructure Project - Ahmedabad #146,Ministry of Health & Family Welfare,Infrastructure,Ahmedabad,3048.13,1458.04,1707,808,49.49,15,7,0,8,3.79,LOW
PRJ-1147,Healthcare Facility Project - Hyderabad #147,Ministry of Health & Family Welfare,Healthcare Facility,Hyderabad,3171.67,1066.16,895,435,26.28,14,3,2,9,4.78,MEDIUM
PRJ-1148,Transportation Project - Lucknow #148,Ministry of Railways,Transportation,Lucknow,543.52,206.03,1734,1423,42.66,36,15,10,11,7.99,HIGH
PRJ-1149,Urban Infrastructure Project - Patna #149,Ministry of Health & Family Welfare,Urban Infrastructure,Patna,3235.3,3310.04,1336,1078,79.11,25,19,1,5,2.7,LOW
PRJ-1150,Urban Infrastructure Project - Mumbai #150,Ministry of Railways,Urban Infrastructure,Mumbai,1646.53,616.88,1473,637,39.97,8,3,0,5,3.15,LOW
PRJ-1151,Urban Infrastructure Project - Delhi NCR #151,Ministry of Urban Development,Urban Infrastructure,Delhi NCR,208.55,43.12,767,141,16.78,10,1,1,8,5.58,MEDIUM
PRJ-1152,Healthcare Facility Project - Jaipur #152,Ministry of Urban Development,Healthcare Facility,Jaipur,3340.27,3206.29,1693,1837,93.66,17,15,0,2,1.27,LOW
PRJ-1153,Infrastructure Project - Pune #153,Ministry of Railways,Infrastructure,Pune,371.22,212.59,883,1042,68.0,16,10,1,5,3.42,HIGH
PRJ-1154,Healthcare Facility Project - Jaipur #154,Ministry of Urban Development,Healthcare Facility,Jaipur,2138.22,930.82,925,471,46.24,31,14,3,14,5.25,LOW
PRJ-1155,Water & Sanitation Project - Patna #155,Ministry of Road Transport & Highways,Water & Sanitation,Patna,2269.1,1043.72,314,145,42.63,29,12,1,16,4.72,LOW
PRJ-1156,Healthcare Facility Project - Bengaluru #156,Ministry of Electronics & IT,Healthcare Facility,Bengaluru,1173.43,822.47,1373,1139,55.7,24,13,5,6,5.61,HIGH
PRJ-1157,Transportation Project - Lucknow #157,Ministry of Urban Development,Transportation,Lucknow,2483.83,1401.24,353,155,57.08,26,14,0,12,3.49,LOW
PRJ-1158,Digital Governance Project - Patna #158,Ministry of Water Resources,Digital Governance,Patna,3194.44,2530.84,371,300,78.31,28,21,0,7,1.7,LOW
PRJ-1159,Energy & Power Project - Pune #159,Ministry of Railways,Energy & Power,Pune,680.1,95.73,461,124,14.85,11,1,2,8,6.14,MEDIUM
PRJ-1160,Healthcare Facility Project - Delhi NCR #160,Ministry of Electronics & IT,Healthcare Facility,Delhi NCR,2320.13,2014.43,1749,1363,79.03,14,11,0,3,2.71,LOW
